Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 798d753e-31aa-4417-9b77-08604fa1b331 Version: $LATEST
END RequestId: 798d753e-31aa-4417-9b77-08604fa1b331
34600 22 -22
34700 29 -29
34800 24 -30
34900 23 -24
35000 22 -32
35100 26 -26
35200 24 -25
35300 33 -24
35400 22 -22
35500 25 -26
35600 36 -27
35700 27 -28
35800 30 -30
35900 30 -37
36000 28 -28
36100 26 -26
36200 30 -33
36300 21 -22
36400 28 -33
36500 27 -37
36600 22 -21
36700 41 -30
36800 27 -29
36900 31 -34
37000 29 -23
37100 25 -24
37200 25 -22
37300 27 -34
37400 23 -23
37500 32 -29
37600 26 -26
37700 30 -29
37800 29 -29
37900 29 -31
38000 25 -30
38100 28 -29
38200 28 -23
38300 27 -27
38400 21 -22
38500 26 -25
38600 27 -27
38700 30 -30
38800 27 -27
38900 26 -30
39000 29 -29
39100 30 -40
39200 25 -24
39300 30 -27
39400 29 -29
39500 22 -22
39600 22 -22
39700 20 -20
39800 31 -34
39900 33 -32
40000 45 -31
40100 27 -27
40200 23 -30
40300 25 -25
40400 21 -31
40500 24 -26
40600 26 -26
40700 26 -26
40800 29 -29
40900 22 -22
41000 27 -26
41100 23 -23
41200 26 -26
41300 21 -23
41400 22 -27
41500 36 -30
41600 28 -28
41700 20 -20
41800 30 -33
41900 34 -30
42000 30 -30
42100 24 -24
42200 26 -30
42300 25 -24
42400 25 -25
42500 23 -24
42600 25 -35
42700 21 -22
42800 23 -23
42900 22 -22
43000 25 -25
43100 25 -28
43200 28 -28
43300 20 -20
43400 28 -37
43500 24 -34
43600 21 -22
43700 28 -28
43800 25 -25
43900 28 -28
44000 26 -32
44100 29 -30
44200 26 -22
44300 25 -25
44400 30 -30
44500 27 -27
44600 23 -23
44700 24 -33
44800 24 -34
44900 26 -32
45000 27 -27
45100 27 -27
45200 27 -27
45300 29 -30
45400 28 -28
45500 24 -24
45600 26 -25
45700 30 -30
45800 26 -26
45900 22 -23
46000 27 -27
46100 27 -28
46200 28 -30
46300 24 -23
46400 26 -26
46500 25 -31
46600 27 -25
46700 23 -23
46800 28 -23
46900 29 -28
47000 20 -28
47100 28 -24
47200 30 -29
47300 24 -24
47400 26 -31
47500 28 -28
47600 21 -21
47700 24 -24
47800 22 -30
47900 22 -21
48000 32 -29
48100 29 -29
48200 26 -26
48300 30 -29
48400 23 -22
48500 25 -25
48600 22 -26
48700 21 -21
48800 41 -31
48900 27 -25
49000 29 -29
49100 29 -26
49200 25 -25
49300 30 -29
49400 28 -22
49500 23 -23
49600 22 -22
49700 24 -33
49800 22 -22
49900 22 -23
50000 31 -30
50100 32 -32
50200 26 -25
50300 26 -32
50400 30 -30
50500 29 -29
50600 25 -24
50700 25 -29
50800 24 -30
50900 27 -27
51000 24 -24
51100 27 -27
51200 32 -32
51300 25 -25
51400 23 -23
51500 22 -22
51600 31 -31
51700 32 -37
51800 26 -26
51900 27 -33
52000 24 -24
52100 30 -30
52200 28 -31
52300 21 -23
52400 24 -24
52500 31 -31
52600 24 -24
52700 29 -29
52800 24 -24
52900 31 -31
53000 28 -28
53100 31 -31
53200 31 -31
53300 24 -24
53400 23 -24
53500 26 -34
53600 24 -23
53700 27 -37
53800 25 -31
53900 33 -28
54000 22 -22
54100 23 -23
54200 21 -21
54300 26 -25
54400 23 -24
54500 29 -39
54600 32 -28
54700 24 -21
54800 24 -24
54900 29 -29
55000 27 -27
55100 31 -31
55200 25 -25
55300 25 -32
55400 23 -23
55500 28 -26
55600 35 -28
55700 21 -28
55800 23 -23
55900 24 -24
56000 22 -22
56100 30 -30
56200 28 -28
56300 23 -31
56400 29 -23
56500 25 -25
56600 27 -27
56700 24 -25
56800 23 -24
56900 25 -20
57000 25 -25
57100 27 -27
57200 26 -28
57300 25 -25
57400 27 -30
57500 31 -32
57600 29 -29
57700 30 -32
57800 28 -28
57900 32 -32
58000 29 -23
58100 23 -24
58200 26 -26
58300 23 -23
58400 21 -21
58500 30 -30
58600 31 -29
58700 25 -25
58800 29 -24
58900 22 -22
59000 35 -26
59100 30 -42
59200 32 -31
59300 30 -30
59400 28 -31
59500 30 -29
59600 25 -25
59700 36 -28
59800 20 -20
59900 25 -24
60000 35 -31
60100 25 -25
60200 22 -22
60300 24 -24
60400 25 -25
60500 22 -22
60600 27 -30
60700 31 -39
60800 25 -25
60900 25 -25
61000 31 -31
61100 32 -37
61200 30 -30
61300 31 -31
61400 28 -28
61500 29 -29
61600 26 -26
61700 24 -23
61800 29 -29
61900 25 -25
62000 23 -23
62100 25 -25
62200 34 -26
62300 22 -22
62400 26 -26
62500 29 -29
62600 31 -31
62700 25 -29
62800 28 -28
62900 22 -22
63000 27 -27
63100 20 -21
63200 24 -24
63300 28 -28
63400 31 -40
63500 32 -35
63600 31 -37
63700 32 -24
63800 27 -28
63900 24 -28
64000 31 -31
64100 29 -29
64200 24 -25
64300 29 -29
64400 25 -26
64500 32 -31
64600 23 -24
64700 30 -31
64800 28 -32
64900 30 -31
65000 22 -25
65100 40 -31
65200 25 -25
65300 35 -31
65400 25 -25
65500 27 -33
65600 36 -28
65700 21 -21
65800 29 -29
65900 27 -27
66000 21 -21
66100 22 -22
66200 28 -28
66300 25 -25
66400 29 -35
66500 24 -25
66600 26 -33
66700 37 -30
66800 24 -24
66900 29 -29
67000 32 -37
67100 21 -26
67200 30 -30
67300 26 -29
67400 30 -30
67500 29 -29
67600 31 -31
67700 23 -21
67800 23 -23
67900 22 -26
68000 30 -30
68100 26 -26
68200 26 -31
68300 27 -27
68400 34 -28
68500 26 -24
68600 31 -41
68700 36 -29
68800 23 -23
68900 27 -21
69000 24 -21
69100 21 -21
69200 27 -33
69300 24 -24
69400 28 -28
69500 30 -27
69600 25 -29
69700 29 -29
69800 27 -28
69900 26 -26
70000 39 -29
70100 27 -33
70200 26 -26
70300 25 -25
70400 31 -40
70500 24 -24
70600 30 -29
70700 24 -26
70800 31 -32
70900 29 -29
71000 32 -31
71100 22 -29
71200 26 -26
71300 20 -20
71400 30 -30
71500 31 -31
71600 22 -22
71700 28 -28
71800 22 -22
71900 22 -27
72000 29 -37
72100 28 -32
72200 21 -21
72300 30 -30
72400 24 -24
72500 30 -30
72600 28 -24
72700 29 -29
72800 30 -30
72900 24 -24
73000 26 -26
73100 26 -31
73200 31 -31
73300 26 -24
73400 30 -36
73500 21 -21
73600 21 -21
73700 21 -20
73800 33 -27
73900 27 -24
74000 21 -24
74100 28 -26
74200 29 -29
74300 13 -24
74400 21 -22
74500 28 -27
74600 28 -29
74700 22 -22
74800 24 -24
74900 22 -25
75000 25 -25
75100 28 -23
75200 42 -29
75300 27 -28
75400 33 -28
75500 24 -24
75600 30 -39
75700 20 -21
75800 31 -31
75900 21 -22
76000 21 -30
76100 26 -26
76200 20 -20
76300 21 -22
76400 28 -28
76500 21 -21
76600 31 -30
76700 27 -26
76800 26 -27
76900 23 -23
77000 32 -32
77100 29 -30
77200 30 -30
77300 24 -24
77400 22 -22
77500 28 -28
77600 31 -31
77700 33 -28
77800 29 -29
77900 26 -26
78000 29 -28
78100 35 -31
78200 36 -28
78300 31 -28
78400 28 -28
78500 21 -21
78600 32 -32
78700 21 -21
78800 32 -29
78900 30 -30
79000 24 -24
79100 24 -25
79200 26 -29
79300 23 -23
79400 22 -22
79500 28 -28
79600 24 -24
79700 32 -34
79800 27 -26
79900 27 -22
80000 25 -25
80100 23 -28
80200 22 -22
80300 26 -23
80400 23 -22
80500 27 -27
80600 21 -21
80700 31 -31
80800 38 -30
80900 32 -26
81000 22 -22
81100 26 -26
81200 23 -23
81300 29 -29
81400 31 -31
81500 29 -30
81600 25 -25
81700 29 -26
81800 29 -28
81900 24 -24
82000 23 -24
82100 25 -24
82200 28 -24
82300 32 -30
82400 33 -25
82500 27 -26
82600 26 -26
82700 28 -29
82800 26 -23
82900 22 -24
83000 32 -23
83100 28 -28
83200 37 -30
83300 30 -32
83400 27 -27
83500 24 -31
83600 27 -27
83700 29 -29
83800 24 -24
83900 25 -26
84000 22 -22
84100 25 -24
84200 30 -41
84300 26 -26
84400 24 -30
84500 28 -36
84600 21 -21
84700 35 -32
84800 24 -23
84900 29 -29
85000 29 -29
85100 22 -30
85200 27 -36
85300 22 -26
85400 30 -29
85500 39 -32
85600 27 -34
85700 22 -25
85800 22 -22
85900 21 -21
86000 21 -21
86100 22 -22
86200 28 -22
86300 27 -23
86400 23 -23
86500 38 -30
86600 27 -27
86700 26 -26
86800 21 -21
86900 40 -32
87000 28 -38
87100 38 -32
87200 27 -27
87300 32 -31
87400 34 -30
87500 23 -22
87600 26 -26
87700 23 -26
87800 27 -27
87900 23 -22
88000 38 -28
88100 31 -31
88200 24 -24
88300 29 -29
88400 22 -31
88500 24 -24
88600 30 -22
88700 28 -28
88800 30 -30
88900 31 -31
89000 28 -28
89100 25 -24
89200 26 -25
89300 28 -28
89400 23 -23
89500 29 -28
89600 29 -26
89700 21 -26
89800 37 -31
89900 27 -22
90000 29 -29
90100 22 -22
90200 28 -24
90300 32 -28
90400 26 -29
90500 27 -27
90600 24 -24
90700 23 -29
90800 27 -27
90900 23 -31
91000 29 -29
91100 29 -29
91200 25 -24
91300 38 -30
91400 27 -28
91500 30 -30
91600 21 -22
91700 31 -31
91800 30 -32
91900 28 -24
92000 29 -26
92100 23 -23
92200 26 -26
92300 27 -27
92400 23 -22
92500 22 -31
92600 26 -26
92700 21 -21
92800 20 -20
92900 25 -26
93000 25 -28
93100 28 -28
93200 30 -30
93300 30 -39
93400 30 -30
93500 20 -26
93600 21 -21
93700 26 -25
93800 26 -26
93900 28 -28
94000 22 -21
94100 27 -27
94200 33 -23
94300 26 -35
94400 33 -29
94500 25 -20
94600 25 -25
94700 20 -20
94800 24 -24
94900 30 -30
95000 29 -28
95100 21 -22
95200 31 -22
95300 23 -23
95400 31 -31
95500 30 -28
95600 23 -31
95700 26 -26
95800 28 -28
95900 25 -25
96000 30 -30
96100 22 -30
96200 22 -22
96300 23 -22
96400 32 -32
96500 31 -30
96600 24 -20
96700 24 -24
96800 26 -26
96900 29 -28
97000 27 -22
97100 32 -32
97200 22 -30
97300 29 -28
97400 23 -23
97500 24 -24
97600 26 -26
97700 27 -27
97800 24 -24
97900 31 -28
98000 22 -22
98100 32 -30
98200 21 -21
98300 28 -28
98400 29 -23
98500 27 -29
98600 31 -31
98700 27 -27
98800 25 -21
98900 25 -25
99000 24 -24
99100 33 -28
99200 24 -24
99300 27 -35
99400 28 -27
99500 23 -23
99600 34 -28
99700 30 -29
99800 29 -26
99900 26 -26
100000 30 -22
100100 26 -27
100200 30 -30
100300 28 -28
100400 25 -25
100500 27 -27
100600 24 -23
100700 30 -30
100800 23 -27
100900 24 -25
101000 28 -22
101100 28 -27
101200 28 -28
101300 20 -20
101400 21 -21
101500 31 -21
101600 24 -28
101700 27 -29
101800 31 -32
101900 25 -25
102000 28 -28
102100 29 -39
102200 26 -26
102300 33 -28
102400 28 -28
102500 27 -27
102600 30 -28
102700 22 -21
102800 27 -30
102900 25 -29
103000 29 -27
103100 22 -22
103200 30 -30
103300 22 -22
103400 27 -27
103500 27 -27
103600 27 -34
103700 30 -38
103800 32 -32
103900 32 -28
104000 22 -22
104100 31 -31
104200 31 -31
104300 21 -21
104400 24 -26
104500 31 -36
104600 26 -26
104700 30 -30
104800 27 -21
104900 29 -24
105000 21 -21
105100 22 -22
105200 30 -30
105300 31 -31
105400 29 -23
105500 28 -34
105600 28 -28
105700 29 -31
105800 32 -32
105900 23 -23
106000 34 -28
106100 25 -33
106200 29 -29
106300 25 -31
106400 26 -27
106500 33 -25
106600 30 -32
106700 31 -31
106800 33 -27
106900 30 -23
107000 31 -30
107100 28 -27
107200 23 -23
107300 27 -23
107400 29 -29
107500 27 -27
107600 24 -28
107700 21 -21
107800 31 -31
107900 25 -25
108000 31 -23
108100 30 -30
108200 25 -25
108300 33 -27
108400 29 -20
108500 30 -30
108600 31 -32
108700 27 -27
108800 27 -26
108900 23 -24
109000 26 -24
109100 22 -32
109200 28 -25
109300 31 -25
109400 24 -38
109500 45 -30
109600 25 -21
109700 28 -28
109800 27 -27
109900 29 -29
110000 25 -25
110100 26 -25
110200 28 -29
110300 27 -32
110400 26 -26
110500 21 -21
110600 27 -27
110700 25 -25
110800 28 -24
110900 26 -28
111000 26 -26
111100 20 -26
111200 28 -21
111300 30 -35
111400 21 -21
111500 24 -24
111600 25 -26
111700 20 -20
111800 25 -25
111900 24 -24
112000 24 -24
112100 25 -25
112200 20 -20
112300 26 -27
112400 28 -28
112500 34 -28
112600 29 -29
112700 22 -23
112800 27 -32
112900 25 -25
113000 30 -30
113100 22 -31
113200 25 -25
113300 22 -24
113400 29 -29
113500 33 -29
113600 24 -27
113700 27 -35
113800 25 -25
113900 21 -22
114000 27 -27
114100 31 -30
114200 31 -31
114300 29 -21
114400 27 -27
114500 27 -28
114600 28 -28
114700 34 -30
114800 21 -21
114900 27 -30
115000 35 -34
115100 26 -27
115200 33 -28
115300 30 -30
115400 38 -29
115500 25 -25
115600 31 -31
115700 36 -31
115800 30 -30
115900 43 -28
116000 30 -34
116100 30 -28
116200 27 -26
116300 26 -36
116400 31 -33
116500 30 -29
116600 29 -30
116700 23 -23
116800 30 -32
116900 29 -29
117000 21 -21
117100 24 -35
117200 23 -23
117300 30 -29
117400 32 -32
117500 23 -33
117600 27 -23
117700 24 -24
117800 26 -31
117900 31 -31
118000 31 -30
118100 24 -20
118200 26 -33
118300 23 -26
118400 28 -28
118500 38 -28
118600 30 -36
118700 29 -29
118800 24 -24
118900 28 -28
119000 27 -27
119100 25 -25
119200 29 -29
119300 23 -23
119400 27 -27
119500 27 -27
119600 25 -25
119700 25 -25
119800 26 -27
119900 25 -33
120000 28 -28
120100 22 -22
120200 22 -23
120300 28 -29
120400 33 -28
120500 29 -29
120600 37 -27
120700 21 -21
120800 28 -28
120900 24 -26
121000 26 -26
121100 21 -21
121200 27 -27
121300 27 -28
121400 20 -20
121500 27 -27
121600 34 -33
121700 27 -26
121800 27 -33
121900 22 -22
122000 31 -32
122100 32 -23
122200 28 -29
122300 24 -24
122400 22 -22
122500 27 -29
122600 29 -24
122700 21 -21
122800 32 -33
122900 23 -27
123000 27 -27
123100 21 -21
123200 25 -26
123300 21 -21
123400 24 -24
123500 29 -23
123600 30 -30
123700 28 -28
123800 31 -31
123900 35 -27
124000 25 -25
124100 28 -28
124200 32 -32
124300 33 -23
124400 24 -24
124500 23 -23
124600 30 -30
124700 32 -32
124800 28 -28
124900 23 -23
125000 27 -27
125100 27 -26
125200 31 -24
125300 31 -25
125400 26 -26
125500 26 -26
125600 41 -31
125700 28 -26
125800 25 -26
125900 23 -22
126000 22 -22
126100 31 -31
126200 32 -29
126300 23 -23
126400 31 -31
126500 29 -27
126600 40 -31
126700 23 -23
126800 28 -25
126900 21 -24
127000 31 -28
127100 28 -29
127200 21 -20
127300 27 -27
127400 25 -25
127500 27 -31
127600 40 -26
127700 33 -25
127800 28 -34
127900 30 -30
128000 22 -29
128100 30 -25
128200 32 -32
128300 27 -26
128400 24 -24
128500 30 -30
128600 28 -26
128700 23 -23
128800 38 -29
128900 29 -29
129000 31 -32
129100 21 -21
129200 24 -27
129300 21 -20
129400 20 -20
129500 29 -29
129600 38 -31
129700 27 -27
129800 30 -26
129900 21 -21
130000 32 -32
130100 24 -32
130200 24 -24
130300 29 -29
130400 30 -30
130500 25 -34
130600 23 -23
130700 24 -24
130800 35 -27
130900 24 -25
131000 25 -24
131100 31 -29
131200 21 -22
131300 28 -22
131400 23 -23
131500 21 -21
131600 40 -30
131700 23 -27
131800 30 -33
131900 25 -25
132000 24 -24
132100 36 -21
132200 26 -26
132300 25 -25
132400 23 -23
132500 26 -24
132600 28 -24
132700 31 -31
132800 30 -30
132900 22 -21
133000 34 -32
133100 30 -30
133200 45 -30
133300 33 -29
133400 29 -23
133500 25 -22
133600 22 -32
133700 26 -26
133800 28 -28
133900 20 -20
134000 30 -31
134100 25 -25
134200 30 -23
134300 21 -25
134400 25 -25
134500 25 -28
134600 21 -21
134700 25 -23
134800 26 -36
134900 23 -26
135000 24 -24
135100 26 -26
135200 32 -40
135300 30 -30
135400 28 -29
135500 29 -29
135600 24 -24
135700 26 -24
135800 23 -32
135900 24 -24
136000 23 -24
136100 29 -30
136200 23 -21
136300 21 -21
136400 29 -28
136500 27 -39
136600 27 -27
136700 30 -30
136800 25 -25
136900 26 -20
137000 24 -24
137100 27 -28
137200 22 -22
137300 28 -28
137400 22 -22
137500 23 -23
137600 26 -27
137700 24 -24
137800 25 -25
137900 26 -26
138000 22 -22
138100 22 -30
138200 24 -23
138300 22 -23
138400 40 -30
138500 39 -29
138600 30 -26
138700 28 -33
138800 21 -21
138900 26 -26
139000 31 -31
139100 30 -30
139200 22 -22
139300 29 -28
139400 22 -26
139500 23 -23
139600 26 -26
139700 30 -30
139800 30 -32
139900 32 -32
140000 26 -25
140100 28 -25
140200 31 -31
140300 22 -21
140400 30 -21
140500 21 -21
140600 21 -22
140700 22 -22
140800 23 -26
140900 23 -23
141000 21 -21
141100 28 -28
141200 22 -22
141300 21 -28
141400 26 -26
141500 25 -26
141600 24 -32
141700 20 -20
141800 21 -21
141900 39 -31
142000 29 -29
142100 27 -27
142200 20 -21
142300 25 -25
142400 23 -23
142500 24 -24
142600 30 -29
142700 25 -22
142800 34 -29
142900 32 -32
143000 29 -29
143100 27 -27
143200 24 -24
143300 30 -27
143400 28 -27
143500 34 -26
143600 24 -24
143700 25 -25
143800 25 -22
143900 29 -29
144000 23 -27
144100 26 -25
144200 30 -24
144300 30 -39
144400 27 -28
144500 31 -31
144600 27 -25
144700 29 -29
144800 27 -27
144900 23 -23
145000 24 -24
145100 30 -20
145200 29 -30
145300 28 -26
145400 22 -22
145500 24 -29
145600 30 -35
145700 24 -31
145800 22 -21
145900 23 -23
146000 24 -24
146100 27 -36
146200 30 -32
146300 21 -30
146400 39 -31
146500 35 -31
146600 32 -32
146700 31 -31
146800 32 -24
146900 28 -28
147000 28 -28
147100 33 -25
147200 24 -23
147300 29 -29
147400 23 -24
147500 25 -24
147600 29 -29
147700 33 -26
147800 30 -30
147900 31 -27
148000 27 -27
148100 23 -24
148200 28 -27
148300 21 -25
148400 21 -21
148500 32 -25
148600 24 -24
148700 26 -25
148800 31 -36
148900 28 -28
149000 25 -22
149100 27 -22
149200 35 -30
149300 33 -31
149400 24 -24
149500 20 -27
149600 27 -21
149700 33 -29
149800 22 -32
149900 29 -33
150000 26 -20
150100 32 -37
150200 26 -23
150300 26 -26
150400 27 -22
150500 21 -21
150600 25 -25
150700 31 -31
150800 27 -25
150900 30 -31
151000 28 -22
151100 21 -30
151200 31 -24
151300 24 -24
151400 32 -34
151500 30 -30
151600 24 -24
151700 22 -23
151800 26 -26
151900 24 -24
152000 29 -29
152100 32 -23
152200 27 -22
152300 27 -27
152400 23 -23
152500 27 -27
152600 36 -27
152700 27 -27
152800 21 -21
152900 22 -22
153000 24 -26
153100 25 -25
153200 20 -20
153300 23 -23
153400 20 -20
153500 29 -20
153600 30 -31
153700 26 -26
153800 23 -23
153900 28 -28
154000 28 -27
154100 27 -27
154200 23 -23
154300 23 -27
154400 26 -26
154500 27 -27
154600 23 -21
154700 28 -28
154800 29 -29
154900 23 -29
155000 22 -22
155100 20 -21
155200 29 -27
155300 29 -29
155400 30 -30
155500 23 -23
155600 28 -29
155700 48 -27
155800 28 -28
155900 29 -39
156000 26 -26
156100 28 -28
156200 23 -23
156300 26 -26
156400 28 -26
156500 26 -28
156600 33 -28
156700 37 -31
156800 26 -25
156900 26 -26
157000 26 -22
157100 27 -29
157200 29 -29
157300 41 -32
157400 22 -26
157500 25 -30
157600 23 -23
157700 25 -25
157800 26 -30
157900 31 -26
158000 29 -29
158100 31 -32
158200 27 -45
158300 29 -27
158400 29 -29
158500 30 -29
158600 23 -23
158700 30 -29
158800 26 -26
158900 20 -20
159000 23 -22
159100 25 -28
159200 19 -23
159300 29 -30
159400 21 -27
159500 26 -25
159600 32 -32
159700 31 -31
159800 29 -29
159900 20 -20
160000 23 -23
160100 32 -32
160200 32 -32
160300 23 -23
160400 28 -28
160500 28 -32
160600 23 -23
160700 30 -30
160800 29 -29
160900 25 -31
161000 25 -26
161100 23 -26
161200 24 -24
161300 27 -28
161400 30 -29
161500 27 -23
161600 30 -30
161700 30 -30
161800 30 -28
161900 28 -28
162000 31 -31
162100 32 -32
162200 30 -27
162300 28 -38
162400 37 -34
162500 29 -29
162600 27 -27
162700 28 -28
162800 20 -20
162900 32 -32
163000 35 -27
163100 22 -25
163200 30 -30
163300 26 -26
163400 29 -29
163500 27 -27
163600 30 -30
163700 20 -24
163800 25 -31
163900 32 -22
164000 23 -22
164100 39 -29
164200 23 -23
164300 27 -27
164400 28 -27
164500 31 -25
164600 32 -32
164700 27 -27
164800 24 -24
164900 24 -24
165000 26 -26
165100 28 -28
165200 30 -30
165300 27 -27
165400 30 -30
165500 24 -21
165600 28 -28
165700 30 -29
165800 25 -24
165900 28 -28
166000 24 -24
166100 22 -22
166200 22 -22
166300 30 -30
166400 23 -23
166500 29 -30
166600 28 -37
166700 21 -21
166800 24 -26
166900 24 -25
167000 22 -25
167100 27 -27
167200 23 -33
167300 26 -31
167400 29 -29
167500 27 -35
167600 25 -25
167700 33 -24
167800 38 -32
167900 29 -29
168000 29 -29
168100 23 -23
168200 25 -25
168300 
168400 38 -30
168500 26 -26
168600 30 -21
168700 20 -26
168800 42 -27
168900 23 -23
169000 28 -30
169100 29 -29
169200 29 -29
169300 30 -36
169400 29 -24
169500 30 -30
169600 22 -22
169700 30 -24
169800 28 -28
169900 25 -23
170000 20 -21
170100 28 -26
170200 31 -34
170300 25 -25
170400 28 -26
170500 26 -26
170600 32 -38
170700 24 -24
170800 25 -23
170900 29 -29
171000 32 -34
